cluster_id,size,dominant_language,purity,language_distribution
33,188,Korean,1.0,{'Korean': 188}
1,128,German,1.0,{'German': 128}
25,110,Korean,1.0,{'Korean': 110}
41,81,Spanish,1.0,{'Spanish': 81}
10,79,Italian,1.0,{'Italian': 79}
11,75,Italian,1.0,{'Italian': 75}
36,74,Spanish,1.0,{'Spanish': 74}
39,74,Spanish,1.0,{'Spanish': 74}
9,73,Italian,1.0,{'Italian': 73}
7,70,German,1.0,{'German': 70}
32,69,Korean,1.0,{'Korean': 69}
12,60,Italian,1.0,{'Italian': 60}
24,59,Korean,1.0,{'Korean': 59}
26,55,Korean,1.0,{'Korean': 55}
3,50,German,1.0,{'German': 50}
0,47,German,1.0,{'German': 47}
37,47,Spanish,1.0,{'Spanish': 47}
5,46,German,1.0,{'German': 46}
38,39,Spanish,1.0,{'Spanish': 39}
2,36,German,1.0,{'German': 36}
6,36,German,1.0,{'German': 36}
28,36,Korean,1.0,{'Korean': 36}
8,30,German,1.0,{'German': 30}
40,27,Spanish,1.0,{'Spanish': 27}
42,26,Spanish,1.0,{'Spanish': 26}
4,21,German,1.0,{'German': 21}
16,20,Italian,1.0,{'Italian': 20}
27,20,Korean,1.0,{'Korean': 20}
35,18,Korean,1.0,{'Korean': 18}
14,17,Italian,1.0,{'Italian': 17}
31,17,Korean,1.0,{'Korean': 17}
15,14,Italian,1.0,{'Italian': 14}
20,14,Italian,1.0,{'Italian': 14}
23,12,Italian,1.0,{'Italian': 12}
34,12,Korean,1.0,{'Korean': 12}
17,11,Italian,1.0,{'Italian': 11}
18,11,Italian,1.0,{'Italian': 11}
21,11,Italian,1.0,{'Italian': 11}
22,11,Italian,1.0,{'Italian': 11}
30,11,Korean,1.0,{'Korean': 11}
13,10,Italian,1.0,{'Italian': 10}
19,10,Italian,1.0,{'Italian': 10}
29,10,Korean,1.0,{'Korean': 10}
