,n_clusters_found,silhouette_score,calinski_harabasz,davies_bouldin,cluster_purity
K-Means (k=4),4.0,0.19010294612708267,594.2705268222932,1.9760272084261077,0.41443336592304836
K-Means (k=optimal),15.0,0.257029673489481,375.5336461778111,1.5425521132552036,0.7876423650977724
Agglomerative (k=4),4.0,0.1946454707291922,574.1667680544806,1.597168307062031,0.5834989524227545
Agglomerative (k=optimal),15.0,0.2638323491275316,383.3344012704587,1.5441865963918668,0.8184134811938987
Gaussian Mixture (k=4),4.0,0.19119962672129415,555.7152890211886,1.7502333267516967,0.518348231039288
Gaussian Mixture (k=optimal),15.0,0.24619748380298592,371.49433963916886,1.5245012039793702,0.8076552819935777
DBSCAN (eps=2.5),14.0,-0.21864725571657465,41.42879908224516,1.357752556903736,1.0
DBSCAN (eps=3.0),30.0,-0.0722337923320429,57.09711514814853,1.3189886663513632,1.0
DBSCAN (eps=3.5),44.0,0.10760667977212864,87.32344310575698,1.3727387501380826,1.0
Spectral Clustering,4.0,0.0015187649976205427,82.96937274435103,1.5094411522238471,0.7001831501831501
